"Organization","EIN","UEI","Federal.grantor","Federal.CFDA.Number","Contract.Number","Passed.through.to.subrecipients","Federal.Expenditures","Direct.Pass.Program","Grantor","Program.Title","Type.of.Program","Funding.Source","Amount.Per.San.Diegan","Amount.Per.PEH","Combined","Category","Year","X","X.1","X.2","X.3","X.4","X.5","ExpenditureType"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.583","90RW0068-04","59,307","47,098","Direct Program","Office of Refugee Resettlement","Wilson Fish (CRC) Int Case Management","Refugee and Entrant Assistance Wilson/Fish Program","Federal","$0.01","#N/A","Wilson Fish (CRC) Int Case Management|Refugee and Entrant Assistance Wilson/Fish Program","#N/A",2020,NA,NA,NA,NA,NA,"","Prevention"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP-1819-24-CC-IIIC1","0","36,038","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Nutrition Services Incentive Program","Federal","$0.01","$8.26","Congregate Meals|Nutrition Services Incentive Program","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP-1819-24-CC-IIIC1","0","177,232","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.05","$40.61","Congregate Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP-1819-24-CC-IIIC1","0","37,993","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Nutrition Services Incentive Program","Federal","$0.01","#N/A","Congregate Meals|Nutrition Services Incentive Program","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP-1819-24-CC-IIIC1","0","238,780","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.07","#N/A","Congregate Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","Area Agency on Aging – Imperial County Congregate Meals","93.053","AP-1819-24-CC-IIIC1","0","34,117","Pass-Through","Nutrition Services Incentive Program","Congregate Meals","Area Agency on Aging – Imperial County","Federal","$0.01","#N/A","Congregate Meals|Area Agency on Aging – Imperial County","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP-1819-24-CC-IIIC1","0","245,942","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.07","#N/A","Congregate Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP-1819-24-CC-IIIC2","0","22,338","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Nutrition Services Incentive Program","Federal","$0.01","$5.12","Home Delivered Meals|Nutrition Services Incentive Program","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP-1819-24-CC-IIIC2","0","140,439","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.04","$32.18","Home Delivered Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP-1819-24-CC-IIIC2","0","38,420","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Nutrition Services Incentive Program","Federal","$0.01","#N/A","Home Delivered Meals|Nutrition Services Incentive Program","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP-1819-24-CC-IIIC2","0","115,184","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.03","#N/A","Home Delivered Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","Area Agency on Aging – Imperial County Home Delivered Meals","93.053","AP-1819-24-CC-IIIC2","0","26,194","Pass-Through","Nutrition Services Incentive Program","Home Delivered Meals","Area Agency on Aging – Imperial County","Federal","$0.01","#N/A","Home Delivered Meals|Area Agency on Aging – Imperial County","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP-1819-24-CC-IIIC2","0","106,738","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.03","#N/A","Home Delivered Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.044","AP3-1516-24-CC-IIIB","0","5,795","Pass-Through","Area Agency on Aging – Imperial County","Senior Nutrition – Transportation","Special Programs for the Aging - Title III, Part B - Grants for Supportive Services and Senior Centers","Federal","$0.00","#N/A","Senior Nutrition – Transportation|Special Programs for the Aging - Title III, Part B - Grants for Supportive Services and Senior Centers","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP3-1516-24-CC-IIIC1","0","218,097","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.07","#N/A","Congregate Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP3-1516-24-CC-IIIC2","0","7,196","Pass-Through","Nutrition Services Incentive Program","Home Delivered Meals","Area Agency on Aging – Imperial County","Federal","$0.00","#N/A","Home Delivered Meals|Area Agency on Aging – Imperial County","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP3-1516-24-CC-IIIC2","0","23,819","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.01","#N/A","Home Delivered Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP3-1516-24-CC-IIIC2","0","106,670","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.03","#N/A","Home Delivered Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP3-1516-24-CC-IIICI","0","10,422","Pass-Through","Nutrition Services Incentive Program","Congregate Meals","Area Agency on Aging – Imperial County","Federal","$0.00","#N/A","Congregate Meals|Area Agency on Aging – Imperial County","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP3-1516-24-CC-IIICI","0","51,791","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.02","#N/A","Congregate Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP3-1617-24-CC-IIIC1","0","504","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Nutrition Services Incentive Program","Federal","$0.00","#N/A","Congregate Meals|Nutrition Services Incentive Program","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP3-1617-24-CC-IIIC2","0","39,509","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Nutrition Services Incentive Program","Federal","$0.01","#N/A","Home Delivered Meals|Nutrition Services Incentive Program","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP9-1516-24-CC-IIIC1","0","282","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Nutrition Services Incentive Program","Federal","$0.00","#N/A","Congregate Meals|Nutrition Services Incentive Program","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP9-1516-24-CC-IIIC1","0","7,556","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.00","#N/A","Congregate Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP9-1516-24-CC-IIIC2","0","22,542","Pass-Through","Nutrition Services Incentive Program","Home Delivered Meals","Area Agency on Aging – Imperial County","Federal","$0.01","#N/A","Home Delivered Meals|Area Agency on Aging – Imperial County","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP9-1516-24-CC-IIIC2","0","92,012","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.03","#N/A","Home Delivered Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP9-1516-24-CC-IIIC2","0","22,445","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Nutrition Services Incentive Program","Federal","$0.01","#N/A","Home Delivered Meals|Nutrition Services Incentive Program","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP9-1516-24-CC-IIIC2","0","2,724","Pass-Through","Area Agency on Aging – Imperial County","Home Delivered Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.00","#N/A","Home Delivered Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.053","AP9-1516-24-CC-IIICI","0","32,647","Pass-Through","Nutrition Services Incentive Program","Congregate Meals","Area Agency on Aging – Imperial County","Federal","$0.01","#N/A","Congregate Meals|Area Agency on Aging – Imperial County","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Health and Human Services","93.045","AP9-1516-24-CC-IIICI","0","186,160","Pass-Through","Area Agency on Aging – Imperial County","Congregate Meals","Special Programs for the Aging - Title III, Part C - Nutrition Services","Federal","$0.06","#N/A","Congregate Meals|Special Programs for the Aging - Title III, Part C - Nutrition Services","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA0539D9D011407","0","29,903","Direct Program","U.S. Department of Housing and Urban Development","Leah's Residence","Multifamily Housing Service Coordinators","Federal","$0.01","#N/A","Leah's Residence|Multifamily Housing Service Coordinators","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA0539L9D01140X","0","3,118","Direct Program","U.S. Department of Housing and Urban Development","Leah's Residence","Multifamily Housing Service Coordinators","Federal","$0.00","#N/A","Leah's Residence|Multifamily Housing Service Coordinators","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0539L9D011609","0","30,315","Direct Program","U.S. Department of Housing and Urban Development","Leah's Residence","Continuum of Care","Federal","$0.01","#N/A","Leah's Residence|Continuum of Care","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0539L9D011710","0","3,195","Direct Program","U.S. Department of Housing and Urban Development","Leah's Residence","Continuum of Care","Federal","$0.00","#N/A","Leah's Residence|Continuum of Care","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0539L9D011811","0","32,578","Direct Program","U.S. Department of Housing and Urban Development","Leah's Residence","Continuum of Care","Federal","$0.01","$7.47","Leah's Residence|Continuum of Care","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0539L9D011811","0","34,621","Direct Program","U.S. Department of Housing and Urban Development","Leah's Residence","Continuum of Care","Federal","$0.01","#N/A","Leah's Residence|Continuum of Care","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0539L9D011912","0","30,863","Direct Program","U.S. Department of Housing and Urban Development","Leah's Residence","Continuum of Care","Federal","$0.01","#N/A","Leah's Residence|Continuum of Care","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0542L9D011306","0","42,283","Pass-Through","YWCA","Rachel’s Night Shelter /WCP/YWCA","Continuum of Care Program","Federal","$0.01","#N/A","Rachel’s Night Shelter /WCP/YWCA|Continuum of Care Program","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0542L9D011407","0","22,693","Pass-Through","St. Vincent de Paul Villages","Rachel’s Night Shelter Solutions IV","Continuum of Care Program","Federal","$0.01","#N/A","Rachel’s Night Shelter Solutions IV|Continuum of Care Program","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0543L9D011407","0","63,508","Pass-Through","YWCA","Rachel’s Night Shelter /WCP/YWCA","Continuum of Care Program","Federal","$0.02","#N/A","Rachel’s Night Shelter /WCP/YWCA|Continuum of Care Program","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA0543L9D011407","0","65,589","Pass-Through","St. Vincent de Paul Villages","House of Rachel Solutions II/V","Continuum of Care Program","Federal","$0.02","#N/A","House of Rachel Solutions II/V|Continuum of Care Program","#N/A",2016,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1438L9D011500","0","31,379","Direct Program","U.S. Department of Housing and Urban Development","Rapid Rehousing","Continuum of Care","Federal","$0.01","#N/A","Rapid Rehousing|Continuum of Care","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1438L9D011601","0","60,164","Direct Program","U.S. Department of Housing and Urban Development","Rapid Rehousing","Continuum of Care","Federal","$0.02","#N/A","Rapid Rehousing|Continuum of Care","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1438L9D011702","0","104,973","Direct Program","U.S. Department of Housing and Urban Development","Rapid Rehousing","Continuum of Care","Federal","$0.03","$24.05","Rapid Rehousing|Continuum of Care","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1438L9D011702","0","25,032","Direct Program","U.S. Department of Housing and Urban Development","Rapid Rehousing","Continuum of Care","Federal","$0.01","#N/A","Rapid Rehousing|Continuum of Care","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1438L9D011803","0","99,162","Direct Program","U.S. Department of Housing and Urban Development","COC IV","Continuum of Care","Federal","$0.03","#N/A","COC IV|Continuum of Care","#N/A",2020,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1438L9D011803","0","24,138","Direct Program","U.S. Department of Housing and Urban Development","COC IV","Continuum of Care","Federal","$0.01","#N/A","COC IV|Continuum of Care","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1438L9D011904","0","30,252","Direct Program","U.S. Department of Housing and Urban Development","Rapid Rehousing","Continuum of Care","Federal","$0.01","#N/A","Rapid Rehousing|Continuum of Care","#N/A",2021,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1456L9D131500","0","1,250","Direct Program","U.S. Department of Housing and Urban Development","IV HTF Planning Grant","Continuum of Care","Federal","$0.00","#N/A","IV HTF Planning Grant|Continuum of Care","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1522L9D131500","0","10,608","Direct Program","U.S. Department of Housing and Urban Development","IV Collaborative Assessment Project (CAP)","Continuum of Care","Federal","$0.00","#N/A","IV Collaborative Assessment Project (CAP)|Continuum of Care","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1624L9D131600","0","16,651","Direct Program","U.S. Department of Housing and Urban Development","IV Planning Project","Continuum of Care","Federal","$0.01","#N/A","IV Planning Project|Continuum of Care","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1625L9D131600","0","38,474","Direct Program","U.S. Department of Housing and Urban Development","IV Cap II","Continuum of Care","Federal","$0.01","#N/A","IV Cap II|Continuum of Care","#N/A",2018,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1625L9D131600","0","5,526","Direct Program","U.S. Department of Housing and Urban Development","COC IV","Continuum of Care","Federal","$0.00","$1.27","COC IV|Continuum of Care","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS00009","0","46,122","Pass-Through","Calexico Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.01","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS00009","0","49,309","Pass-Through","Calexico Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.01","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2018,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS01015","0","3,239","Pass-Through","Cathedral Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.00","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS01015","0","3,380","Pass-Through","Cathedral Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.00","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2018,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS02001","0","61,846","Pass-Through","Guadalupe Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS02001","0","61,820","Pass-Through","Guadalupe Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2018,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS02013","0","28,016","Pass-Through","First Lutheran Developments, Inc.","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.01","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS03005","0","53,123","Pass-Through","Escondido Gardens Housing Foundation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS03005","0","55,731","Pass-Through","Escondido Gardens Housing Foundation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2018,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS99001","0","137,831","Pass-Through","Cathedral Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.04","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2016,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","CA16HS99001","0","143,958","Pass-Through","Cathedral Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.04","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2018,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.267","CA1713L9D131700","0","17,060","Direct Program","U.S. Department of Housing and Urban Development","COC IV","Continuum of Care","Federal","$0.01","$3.91","COC IV|Continuum of Care","#N/A",2019,NA,NA,NA,NA,NA,"","Crisis Management"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179560","0","52,903","Pass-Through","Guadalupe Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","$12.12","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2019,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179560","0","52,682","Pass-Through","Guadalupe Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2020,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179560","0","74,399","Pass-Through","Guadalupe Plaza Development Corporation Senior","Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","#N/A","Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2021,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179573","0","148,093","Pass-Through","Cathedral Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.04","$33.94","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2019,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179573","0","2,435","Pass-Through","Cathedral Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.00","$0.56","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2019,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179573","0","136,332","Pass-Through","Cathedral Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.04","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2020,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179573","0","3,382","Pass-Through","Cathedral Plaza Development Corporation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.00","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2020,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179573","0","148,832","Pass-Through","Cathedral Plaza Development Corporation Senior","Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.04","#N/A","Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2021,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179573","0","2,560","Pass-Through","Cathedral Plaza Development Corporation Senior","Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.00","#N/A","Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2021,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179640","0","64,669","Pass-Through","Escondido Gardens Housing Foundation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","$14.82","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2019,NA,NA,NA,NA,NA,"","Diversion"
"CCD",237334012,"E6RZE38JHS41","U.S. Department of Housing and Urban Development","14.191","MFSC179640","0","76,481","Pass-Through","Escondido Gardens Housing Foundation","Senior Services Coordinator","Multifamily Housing Service Coordinators","Federal","$0.02","#N/A","Senior Services Coordinator|Multifamily Housing Service Coordinators","#N/A",2020,NA,NA,NA,NA,NA,"","Diversion"
